category_en,category_zh,card_id,english_name,chinese_name,description,use_cases
Assessment,隱性評量卡,A05,Strategy,策略,使用哪一類解法,策略辨識
Assessment,隱性評量卡,A06,Efficiency,效率,使用多少步驟或資源,最佳化、熟練度
Assessment,隱性評量卡,A07,Hint Use,提示使用,何時需要幫助,鷹架需求
Assessment,隱性評量卡,A08,Response Time,反應時間,判斷速度如何,熟練度、自動化
Assessment,隱性評量卡,A09,Transfer,遷移表現,新情境能否應用,遷移能力
Assessment,隱性評量卡,A10,Mastery,精熟度,多種證據綜合判斷,整體能力估計
Feedback,回饋卡,F01,Immediate Consequence,即時結果,操作後立刻看到後果,因果、物理、程式
Feedback,回饋卡,F02,Visual Change,視覺變化,顏色、形狀或狀態改變,分類、化學、系統狀態
Feedback,回饋卡,F03,Motion Feedback,動態回饋,速度、方向、軌跡改變,物理、數學
Feedback,回饋卡,F04,Audio Cue,聲音提示,用聲音提示成功、異常或狀態,節奏、語言、狀態判斷
Feedback,回饋卡,F05,Haptic-like Impact,衝擊感,用停頓、畫面抖動等數位衝擊強調事件,碰撞、重要事件
Feedback,回饋卡,F06,Prediction Preview,預測預覽,執行前顯示可能結果,物理、數學、系統推理
Feedback,回饋卡,F07,Before–After Comparison,前後比較,顯示操作前後差異,科學實驗、資料分析
Feedback,回饋卡,F08,Ghost Replay,幽靈重播,顯示前一次嘗試路徑,動作、最佳化、策略修正
Feedback,回饋卡,F09,Error Highlight,錯誤標示,標出出錯的位置或節點,程式、電路、流程
Feedback,回饋卡,F10,Partial Success,部分成功,顯示哪些部分做對、哪些尚未完成,複合任務
Feedback,回饋卡,F11,Progress Meter,進展顯示,顯示接近目標的程度,最佳化、比例、平衡
Feedback,回饋卡,F12,System State,系統狀態,顯示溫度、壓力、電流、能量等,STEM
Feedback,回饋卡,F13,Resource Feedback,資源回饋,顯示資源因決策而增加或消耗,經濟、能源、管理
Feedback,回饋卡,F14,Cause Trace,因果追蹤,顯示某結果由哪些事件造成,系統思考、歷史、程式
Feedback,回饋卡,F15,Counterexample,反例回饋,讓錯誤規則在特定情境失效,概念修正
Feedback,回饋卡,F16,Adaptive Hint,漸進提示,依失敗次數逐步增加提示,鷹架學習
Feedback,回饋卡,F17,Explain-on-Demand,按需解釋,玩家主動要求才顯示原因,避免過度提示
Feedback,回饋卡,F18,Strategy Comparison,策略比較,比較不同解法的效率或結果,工程、數學、程式
Feedback,回饋卡,F19,Delayed Consequence,延遲後果,決策後一段時間才看到影響,生態、經濟、系統
Feedback,回饋卡,F20,Transfer Feedback,遷移回饋,回饋是否成功把舊知識用到新情境,高階學習
